№,Название завтрака:,Ингредиенты на 1 порцию:,Приготовление:,Какое блюдо,Блюдо из,Тип блюда
29,"Картофель, запечённый с травами","🥔 Картофель – 150 г (1 средний клубень)
🧈 Оливковое масло – 1 ч. ложка
Сушеный розмарин – 1/4 ч. ложки
Сушеный тимьян – 1/4 ч. ложки
🧂 Соль – по вкусу","Очистите картофель и нарежьте его дольками или крупными кубиками.
В миске соедините картофель, оливковое масло, розмарин, тимьян и немного соли. Хорошо перемешайте, чтобы каждый кусочек картофеля был покрыт маслом и травами.
Разогрейте духовку до 200 °C.
Выложите картофель на противень, застеленный пергаментной бумагой, одним слоем.
Запекайте картофель в духовке примерно 20–25 минут или до золотистой корочки, периодически перемешивая, чтобы кусочки подрумянились равномерно.
Подавайте запечённый картофель горячим.",гарниры,картофель,гарниры
30,"Картофель, запечённый с зеленью","🥔 Картофель – 150 г (1 средний клубень)
🧈 Оливковое масло – 1 ч. ложка
🌿 Свежая петрушка – 1 ст. ложка, мелко нарезанная
🌿 Свежий укроп – 1 ст. ложка, мелко нарезанный
🧂 Соль – по вкусу","Очистите картофель и нарежьте его дольками или крупными кубиками.
В миске смешайте картофель с оливковым маслом и немного посолите, перемешайте, чтобы каждый кусочек был покрыт маслом.
Разогрейте духовку до 200 °C.
Выложите картофель на противень, застеленный пергаментной бумагой, в один слой.
Запекайте картофель в духовке 20–25 минут до золотистого цвета, периодически перемешивая.
Достаньте картофель из духовки и посыпьте его свежей петрушкой и укропом.
Перемешайте и подавайте горячим.",гарниры,картофель,гарниры
31,Картофельные дольки на пару с паприкой,"🥔 Картофель – 150 г (1 средний клубень)
Паприка (молотая) – 1/2 ч. ложки
🧂 Соль – по вкусу
🌿 Свежий укроп или петрушка – для подачи (по желанию)","Очистите картофель и нарежьте его дольками (среднего размера).
Посыпьте картофельные дольки паприкой и немного посолите. Перемешайте, чтобы каждый кусочек картофеля был покрыт специями.
Выложите картофельные дольки в пароварку или на решетку для приготовления на пару.
Готовьте на пару 15–20 минут, пока картофель не станет мягким.
Переложите готовые картофельные дольки на тарелку и при желании украсьте свежей зеленью.
Подавайте горячими.",гарниры,картофель,гарниры
32,"Картофель, тушёный с морковью и луком","🥔 Картофель – 150 г (1 средний клубень)
🥕 Морковь – 50 г (1 небольшая морковь)
🧅 Лук – 1/4 маленькой луковицы
Вода – 100 мл
🧂 Соль – по вкусу
🧈 Оливковое масло (по желанию) – 1 ч. ложка
🌿 Свежая зелень (укроп или петрушка) – по вкусу","Картофель очистите и нарежьте кубиками среднего размера.
Морковь очистите и нарежьте тонкими кругляшками или соломкой.
Лук нарежьте мелкими кубиками.
В кастрюле с толстым дном разогрейте оливковое масло (если используете).
Добавьте лук и морковь, тушите на слабом огне, пока лук не станет мягким (около 5 минут).
Затем добавьте картофель, перемешайте все ингредиенты.
Влейте воду и добавьте соль.
Тушите на слабом огне под крышкой 20-25 минут, пока картофель и морковь не станут мягкими. При необходимости добавьте немного воды в процессе тушения.
По готовности снимите с огня, посыпьте свежей зеленью.
Подавайте горячим.",гарниры,картофель,гарниры
33,"Картофель, вареный с укропом","🥔 Картофель – 150 г (1 средний клубень)
🌿 Свежий укроп – 1-2 веточки
🧂 Соль – по вкусу","Очистите картофель и нарежьте его на крупные куски, если клубень большой.
Положите картофель в кастрюлю, залейте водой так, чтобы она покрывала картофель.
Доведите воду до кипения, добавьте немного соли.
Варите картофель на среднем огне 15-20 минут, пока он не станет мягким (проверьте готовность ножом или вилкой).
Слейте воду, посыпьте картофель мелко нарезанным укропом и перемешайте.
Подавайте горячим.",гарниры,картофель,гарниры
34,Картофельное пюре с зеленью,"🥔 Картофель – 150 г (1 средний клубень)
🥛 Молоко (коровье или растительное, миндальное) – 50 мл
🧂 Соль – по вкусу
🌿 Свежая зелень (петрушка, укроп) – 1–2 ч. ложки, измельчённая","Очистите картофель и нарежьте его кубиками, чтобы ускорить приготовление.
Поместите картофель в кастрюлю, добавьте воды, чтобы покрыть его, и немного соли.
Варите картофель на среднем огне до мягкости, примерно 15–20 минут.
Слейте воду и оставьте картофель на пару минут в кастрюле, чтобы испарилась лишняя влага.
Добавьте к картофелю молоко и разомните его до получения однородного пюре. Можно использовать картофелемялку или венчик.
Вмешайте измельчённую зелень и при необходимости добавьте еще немного соли.
Подавайте картофельное пюре горячим как гарнир к мясным или овощным блюдам.
Можно добавить немного оливкового масла для более насыщенного вкуса, если это соответствует диетическим рекомендациям.",гарниры,картофель,гарниры
35,Картофельное пюре на воде,"🥔 Картофель – 150 г (1 средний клубень)
Вода – для варки
🧂 Соль – по вкусу
🌿 Укроп или петрушка (для украшения) – по желанию","Очистите картофель и нарежьте его на небольшие куски, чтобы он быстрее сварился.
Поместите картофель в кастрюлю и залейте водой, чтобы она покрывала картофель.
Доведите до кипения, добавьте немного соли, убавьте огонь и варите до мягкости, около 15-20 минут.
Слейте воду, оставив примерно 2-3 столовые ложки отвара для размачивания картофеля.
Разомните картофель до состояния пюре, добавляя оставленный отвар, чтобы добиться нужной консистенции.
Подавайте пюре теплым, украсив мелко нарезанной зеленью, если хотите.",гарниры,картофель,гарниры
36,Картофельное пюре с тыквой,"🥔 Картофель – 100 г (1 маленький клубень)
🎃 Тыква (мякоть) – 100 г
Вода – для варки
🧂 Соль – по вкусу
🌿 Укроп или петрушка для украшения – по желанию","Очистите картофель и нарежьте его кубиками.
Тыкву также нарежьте кубиками такого же размера.
В кастрюлю сложите картофель и тыкву, залейте водой, чтобы она едва покрывала овощи.
Доведите до кипения, добавьте немного соли, убавьте огонь и варите до мягкости, около 15-20 минут.
Слейте воду, оставив немного отвара (около 2-3 столовых ложек), чтобы придать пюре нужную консистенцию.
Разомните картофель и тыкву в пюре, добавляя отвар для более кремовой текстуры.",гарниры,картофель,гарниры
37,Тыквенное пюре с зеленью,"🎃 Тыква (мякоть) – 200 г
Вода – для варки
🧂 Соль – по вкусу
🌿 Зелень (укроп или петрушка) – 1 ст. л. мелко нарезанной","Нарежьте очищенную тыкву небольшими кубиками.
Положите кусочки тыквы в кастрюлю, залейте водой так, чтобы она слегка покрывала тыкву.
Доведите до кипения, затем добавьте немного соли и убавьте огонь.
Варите до мягкости тыквы, около 15 минут.
Слейте воду, оставив примерно 1–2 столовые ложки отвара для регулирования консистенции.
Разомните тыкву до однородного пюре, добавив немного отвара, если нужно.
Вмешайте мелко нарезанную зелень в пюре для аромата и украшения.
Подавайте теплым.",гарниры,тыква,гарниры
38,Тыквенное пюре с добавлением моркови,"🎃 Тыква (мякоть) — 100 г
🥕 Морковь — 50 г
Вода — 100 мл
🧂 Соль — по вкусу
🧈 Оливковое масло — 1 ч. л. (по желанию)","Очистите тыкву и морковь.
Нарежьте тыкву и морковь кубиками или ломтями для удобства варки.
В кастрюле доведите воду до кипения.
Добавьте нарезанные тыкву и морковь. Варите на среднем огне до мягкости, примерно 15–20 минут.
Слейте из кастрюли лишнюю воду (оставьте немного для консистенции, если нужно).
С помощью блендера или вручную превратите тыкву и морковь в пюре до однородной консистенции.
Добавьте соль по вкусу и оливковое масло (по желанию).
Тщательно перемешайте.
Подавайте пюре теплым, украсив по желанию свежей зеленью.",гарниры,тыква,гарниры
39,"Тыква, запечённая с розмарином","🎃 Тыква (мякоть) — 200 г
Свежий розмарин — 1 веточка (или сушёный розмарин — 0,5 ч. л.)
🧈 Оливковое масло — 1 ч. л.
🧂 Соль — по вкусу","Очистите тыкву и нарежьте её на кубики или ломтики толщиной около 2–3 см.
Выложите тыкву в миску, добавьте оливковое масло и посолите.
Мелко нарежьте розмарин (если используете свежий) и добавьте к тыкве, тщательно перемешайте, чтобы каждый кусочек был покрыт маслом и розмарином.
Разогрейте духовку до 200 °C.
Выложите тыкву на противень, застеленный пергаментной бумагой, в один слой.
Запекайте 20–25 минут, пока тыква не станет мягкой и слегка золотистой. При необходимости перемешайте кусочки на середине приготовления для равномерного запекания.
Подавайте тёплой, можно украсить свежими веточками розмарина для аромата.",гарниры,тыква,гарниры
40,"Тыква, запечённая с паприкой","🎃 Тыква (мякоть) — 150 г
Паприка молотая — 1/2 ч. л.
🧈 Оливковое масло — 1 ч. л.
🧂 Соль — по вкусу
🌿 Свежая зелень (петрушка или укроп) — для украшения","Очистите тыкву и нарежьте её кубиками примерно 2 см.
В миске смешайте нарезанную тыкву с оливковым маслом, паприкой и солью. Перемешайте, чтобы специи равномерно распределились по кусочкам тыквы.
Разогрейте духовку до 180°C.
Выложите тыкву в один слой на противень, застеленный пергаментом.
Запекайте около 20–25 минут, пока тыква не станет мягкой и слегка подрумянится. Проверяйте готовность вилкой — тыква должна быть мягкой.
Подавайте запечённую тыкву горячей, посыпав свежей зеленью для аромата и украшения.",гарниры,тыква,гарниры
41,"Тыква, запечённая с чесночным ароматом","🎃 Тыква (мякоть) — 150 г
🧄 Чеснок — 1 зубчик
🧈 Оливковое масло — 1 ч. л.
🧂 Соль — по вкусу
🌿 Свежая зелень (петрушка или укроп) — для украшения","Очистите тыкву и нарежьте её кубиками размером примерно 2 см.
Чеснок раздавите плоской стороной ножа и мелко нарежьте или пропустите через пресс.
Смешайте чеснок с оливковым маслом и оставьте на 5 минут, чтобы масло пропиталось чесночным ароматом.
Выложите тыкву в миску и полейте её чесночным маслом. Добавьте соль и перемешайте, чтобы кусочки тыквы покрылись ароматным маслом.
Разогрейте духовку до 180°C.
Выложите тыкву в один слой на противень, застеленный пергаментом.
Запекайте примерно 20–25 минут, пока тыква не станет мягкой и слегка золотистой.
Подавайте запечённую тыкву горячей, посыпав свежей зеленью для аромата и украшения.",гарниры,тыква,гарниры
42,"Тыква, тушёная с морковью","🎃 Тыква (мякоть) — 150 г
🥕 Морковь — 1 средняя (около 100 г)
Вода — 50 мл
🧈 Оливковое масло — 1 ч. л.
🧂 Соль — по вкусу
🌿 Свежее зелень (петрушка или укроп) — для украшения","Очистите тыкву и нарежьте её небольшими кубиками.
Морковь очистите и нарежьте кружочками или небольшими кубиками.
Нагрейте оливковое масло в небольшой кастрюле на среднем огне.
Добавьте морковь и готовьте 2–3 минуты, периодически помешивая, чтобы она слегка размягчилась.
Затем добавьте тыкву, перемешайте и добавьте воду. Посолите по вкусу.
Уменьшите огонь, накройте крышкой и тушите 10–15 минут, пока тыква и морковь не станут мягкими, но сохранят форму. Если вода испарится слишком быстро, можно добавить еще немного.
Подавайте горячим, украсив свежей зеленью.",гарниры,тыква,гарниры
43,"Тыква, тушёная с луком-пореем","🎃 Тыква (мякоть) — 100 г
🧅 Лук-порей — 1/2 стебля (около 50 г)
🧈 Оливковое масло — 1 ч. л.
Вода — 50 мл
🧂 Соль — по вкусу
🌶️ Черный перец — по вкусу (по желанию)","Очистите тыкву и нарежьте её на небольшие кубики или ломтики.
Лук-порей промойте и нарежьте тонкими кольцами, отбросьте твердые зеленые части.
Разогрейте оливковое масло в сковороде на среднем огне.
Добавьте лук-порей и тушите его до мягкости, около 5 минут.
Добавьте нарезанную тыкву, хорошо перемешайте.
Добавьте немного воды (50 мл) и накройте сковороду крышкой.
Тушите овощи на медленном огне до тех пор, пока тыква не станет мягкой, около 15-20 минут.
Посолите по вкусу и добавьте черный перец (по желанию).
Тщательно перемешайте.
Подавайте тыкву, тушеную с луком-пореем, теплой, как гарнир или самостоятельное блюдо.",гарниры,тыква,гарниры
44,Салат с тыквой и брокколи,"🎃 Тыква (мякоть) — 100 г
🥦 Брокколи — 100 г
Листья шпината — горсть (около 20 г)
🧈 Оливковое масло — 1 ч. л.
Лимонный сок — 1 ч. л.
🧂 Соль — по вкусу
Семена тыквы (по желанию) — 1 ч. л.","Нарежьте тыкву небольшими кубиками.
Отварите тыкву в кипящей воде 5–7 минут или до мягкости, но не доводя до разваривания. Слейте воду и дайте тыкве остыть.
Разделите брокколи на мелкие соцветия.
Бланшируйте брокколи в кипящей воде в течение 2–3 минут, затем сразу опустите в холодную воду, чтобы сохранить цвет и хрусткость. Затем слейте воду.
В глубокой миске соедините тыкву, брокколи и листья шпината.
Заправьте салат оливковым маслом и лимонным соком, посолите по вкусу.
Посыпьте салат семенами тыквы (по желанию) для добавления текстуры и аромата.
Подавайте салат сразу, чтобы он оставался свежим и хрустящим.",салат,овощной,салат
45,Свекольный салат с яблоком и сельдереем,"🥔 Свекла (отварная или запеченная) — 100 г
🍎 Яблоко (сладкое, лучше зеленого сорта) — 1/2 шт.
Стебель сельдерея — 1 шт.
🧈 Оливковое масло — 1 ч. л.
Лимонный сок — 1/2 ч. л.
🧂 Соль — по вкусу
🌿 Зелень (петрушка или укроп) — для украшения","Свеклу нарежьте небольшими кубиками.
Яблоко очистите от кожуры и нарежьте тонкими ломтиками или кубиками, сбрызните лимонным соком, чтобы оно не потемнело.
Стебель сельдерея нарежьте тонкими ломтиками.
В миске смешайте свеклу, яблоко и сельдерей.
Заправьте салат оливковым маслом, посолите по вкусу и аккуратно перемешайте.
Переложите салат в порционное блюдо и украсьте свежей зеленью.",салат,овощной,салат
46,Салат с курицей и зелёным горошком,"Куриное филе (отварное или запеченное) — 100 г
Зелёный горошек (свежий или замороженный, отварной) — 50 г
🥒 Огурец свежий — 1/2 шт.
Листья салата — 2-3 шт.
🍶 Натуральный йогурт (без добавок) — 1 ст. л.
🧂 Соль — по вкусу
🌿 Зелень (петрушка или укроп) — для украшения","Куриное филе нарежьте небольшими кубиками.
Огурец нарежьте тонкими полукружками или кубиками.
Листья салата нарвите руками на небольшие кусочки.
В миске смешайте курицу, зелёный горошек, огурец и листья салата.
Заправьте салат натуральным йогуртом, посолите по вкусу и аккуратно перемешайте.
Переложите салат на порционную тарелку и украсьте свежей зеленью.",салат,курица,салат
47,Салат с морковью и яблоком,"🥕 Морковь (свежая) — 1 шт. (среднего размера)
🍎 Яблоко (сладкое) — 1/2 шт.
🍶 Натуральный йогурт или нежирная сметана — 1 ст. л.
🧂 Соль — по вкусу
🌿 Зелень (петрушка или укроп) — для украшения","Морковь очистите и натрите на крупной тёрке.
Яблоко также натрите на крупной тёрке (по желанию, можно оставить кожуру, если она мягкая).
Смешайте тёртые морковь и яблоко в миске.
Добавьте натуральный йогурт или сметану, посолите по вкусу и аккуратно перемешайте.
Переложите салат на тарелку и украсьте зеленью.",салат,овощной,салат
48,Салат с кабачком и помидорами,"🥒 Кабачок (свежий, молодой) — 1/2 шт.
Помидоры (сладкие) — 1 шт.
🥒 Огурец — 1/2 шт. (по желанию)
🧈 Оливковое масло — 1 ч. л.
🧂 Соль — по вкусу
🌿 Зелень (петрушка, укроп) — для украшения","Кабачок вымойте, нарежьте тонкими полукружками (кожуру с молодого кабачка можно не удалять).
Помидор вымойте и нарежьте дольками или кубиками.
Огурец нарежьте полукружками, если добавляете его в салат.
Смешайте в миске кабачок, помидор и огурец (если используете).
Добавьте оливковое масло и немного соли, аккуратно перемешайте.
Переложите салат на тарелку, украсьте зеленью перед подачей.",салат,овощной,салат
49,Салат с брокколи и цветной капустой,"🥦 Брокколи — 50 г
🥬 Цветная капуста — 50 г
🥒 Огурец — 1 шт.
🧈 Оливковое масло — 1 ч. л.
🧂 Соль — по вкусу
🌿 Зелень (петрушка, укроп) — для украшения","Разделите брокколи и цветную капусту на небольшие соцветия.
Бланшируйте их в кипящей воде 2–3 минуты, затем сразу опустите в ледяную воду, чтобы сохранить яркий цвет и хрустящую текстуру. Затем обсушите.
Огурец нарежьте полукружками.
В миске смешайте брокколи, цветную капусту и огурец.
Добавьте оливковое масло и немного соли, аккуратно перемешайте.
Переложите салат на тарелку, украсьте свежей зеленью перед подачей.",салат,овощной,салат
50,Капустный салат с морковью и яблоком,"🥬 Белокочанная капуста — 100 г
🥕 Морковь (свежая) — 50 г
🍎 Яблоко (сладкое) — 50 г
🧈 Оливковое масло — 1 ч. л.
Лимонный сок — 1 ч. л.
🧂 Соль — по вкусу","Тонко нашинкуйте капусту, слегка посолите и помните руками, чтобы она стала мягче.
Очистите морковь и натрите её на средней или мелкой тёрке.
Сладкое яблоко очистите от кожуры и натрите на крупной тёрке.
В глубокой миске смешайте капусту, морковь и яблоко.
Полейте салат оливковым маслом и лимонным соком. Перемешайте.
Переложите салат на тарелку и подавайте свежим.",салат,овощной,салат
51,Салат с авокадо и шпинатом,"🥬 Шпинат (свежий) — 50 г
Авокадо (спелое) — 50 г
🥒 Огурец (свежий) — 50 г
🧈 Оливковое масло — 1 ч. л.
Лимонный сок — 1 ч. л.
Щепотка соли — по вкусу","Промойте листья шпината под холодной водой, обсушите и разорвите их руками на небольшие кусочки, если они слишком крупные.
Очистите авокадо, удалите косточку и нарежьте его тонкими ломтиками или кубиками.
Огурец промойте, при необходимости очистите кожуру и нарежьте тонкими кружочками или полукружочками.
В глубокой миске соедините шпинат, кусочки авокадо и огурца.
Полейте салат оливковым маслом и лимонным соком, добавьте немного соли. Аккуратно перемешайте, чтобы не повредить авокадо.
Переложите салат на тарелку и подавайте сразу, чтобы сохранить свежесть ингредиентов.",салат,овощной,салат
52,Салат с курицей и кабачками,"Куриное филе (отварное или приготовленное на пару) — 80 г
🥒 Кабачок (молодой) — 100 г
🥒 Огурец (свежий) — 50 г
🧈 Оливковое масло — 1 ч. л.
🌿 Укроп (свежий) — 1 веточка
🧂 Соль — по вкусу","Отварите куриное филе в подсоленной воде до готовности (примерно 20 минут). Остудите и нарежьте небольшими кубиками.
Молодой кабачок вымойте и нарежьте тонкими полосками с помощью овощечистки или тонкими кружочками. При желании можно слегка бланшировать его в кипящей воде (1–2 минуты) и остудить.
Огурец промойте, при необходимости очистите от кожуры и нарежьте кружочками или полукружочками.
В миске соедините куриное филе, кабачок и огурец.
Полейте салат оливковым маслом, добавьте мелко нарезанный укроп и немного соли. Тщательно перемешайте.
Выложите салат на тарелку и подавайте.",салат,курица,салат
53,Салат с картофелем и цветной капустой,"🥔 Картофель (средний) — 1 шт. (около 100 г)
🥬 Цветная капуста — 100 г
🥒 Огурец (свежий) — 50 г
🧈 Оливковое масло — 1 ч. л.
🌿 Петрушка или укроп (свежий) — 1 веточка
🧂 Соль — по вкусу","Картофель вымойте, очистите и отварите в подсоленной воде до мягкости (около 20 минут). Остудите и нарежьте кубиками.
Разберите цветную капусту на небольшие соцветия, отварите в кипящей подсоленной воде 3–5 минут. Остудите.
Огурец вымойте, при необходимости очистите от кожуры и нарежьте кружочками или кубиками.
В миске смешайте картофель, цветную капусту и огурец.
Добавьте оливковое масло, посолите по вкусу и перемешайте.
Посыпьте мелко нарезанной зеленью (петрушкой или укропом).
Салат можно подавать теплым или холодным, в зависимости от предпочтений.",салат,овощной,салат
54,Салат с сельдереем и помидорами,"🌿 Сельдерей (стебли) — 50 г (1 небольшой стебель)
Помидоры (средние) — 2 шт. (около 150 г)
🥒 Огурец (свежий) — 50 г
Листья салата — 2–3 шт.
🧈 Оливковое масло — 1 ч. л.
🧂 Соль — по вкусу
🌿 Петрушка или базилик (для украшения) — 1 веточка","Сельдерей вымойте и нарежьте тонкими ломтиками.
Помидоры вымойте и нарежьте дольками или кубиками.
Огурец вымойте, при необходимости очистите от кожуры и нарежьте кружочками или полукружочками.
Листья салата вымойте, обсушите и крупно порвите руками.
В глубокой миске соедините сельдерей, помидоры, огурцы и листья салата.
Добавьте оливковое масло и соль по вкусу. Аккуратно перемешайте.
Готовый салат украсьте веточкой петрушки или листиками базилика.
Подавать можно сразу после приготовления.",салат,овощной,салат
55,Салат с морковью и киви,"🥕 Морковь (свежая, средняя) — 1 шт. (около 80 г)
Киви (спелый) — 1 шт.
🍶 Йогурт натуральный (без добавок) — 1 ст. л.
🍯 Мёд (по желанию) — 0,5 ч. л.
Щепотка корицы (по желанию)","Морковь вымойте, очистите и натрите на мелкой или средней тёрке.
Киви очистите от кожуры и нарежьте небольшими кубиками.
В миске смешайте натёртую морковь и киви.
Добавьте йогурт и, если хотите подсластить, мёд. Перемешайте.
При желании добавьте щепотку корицы для аромата.
Переложите салат в порционную тарелку и украсьте кусочками киви или листиком мяты.",салат,овощной,салат
56,Салат из тыквы с зелёным горошком,"🎃 Тыква (свежая) — 100 г
Зелёный горошек (свежий или замороженный) — 50 г
🍶 Натуральный йогурт (без добавок) — 1 ст. л.
🌿 Укроп (свежий) — 1 веточка
Щепотка соли","Тыкву очистите от кожуры и семян, нарежьте небольшими кубиками.
Отварите тыкву в кипящей воде 5–7 минут до мягкости, но не переваривайте, чтобы она сохранила форму. Слейте воду и остудите.
Если используете замороженный горошек, залейте его кипятком на 2–3 минуты, затем слейте воду и остудите.
Свежий горошек можно использовать без варки.
В миске соедините тыкву и зелёный горошек.
Добавьте натуральный йогурт, мелко нарезанный укроп и немного соли. Перемешайте.
Переложите салат в порционную тарелку. При желании украсьте веточкой зелени.",салат,овощной,салат
57,Салат с курицей и шпинатом,"Куриная грудка (отварная или запечённая) — 80 г
🥬 Шпинат (свежие листья) — 50 г
🥒 Огурец свежий — 50 г
🍶 Натуральный йогурт (без добавок) — 1 ст. л.
Лимонный сок — 1 ч. л.
🧂 Соль — щепотка","Если куриная грудка не приготовлена, отварите её в подсоленной воде или запеките в фольге при 180 °C до готовности (примерно 20–25 минут). Дайте остыть и нарежьте тонкими ломтиками или небольшими кубиками.
Листья шпината тщательно промойте под проточной водой и обсушите бумажным полотенцем.
Огурец нарежьте тонкими кружочками или полукружиями.
В салатной миске соедините шпинат, курицу и огурец.
В отдельной миске смешайте натуральный йогурт, лимонный сок и щепотку соли. Полейте салат заправкой и аккуратно перемешайте.
Выложите салат на порционную тарелку. При желании украсьте ломтиком лимона или свежей зеленью.",салат,курица,салат
58,Салат с капустой и огурцом,"🥬 Белокочанная капуста — 100 г
🥒 Огурец свежий — 70 г
🌿 Укроп (свежий) — 5 г
🧈 Оливковое масло (нерафинированное) — 1 ч. л.
🧂 Соль — щепотка","Капусту нашинкуйте тонкими полосками. Помните её руками с небольшим количеством соли, чтобы она стала мягче и выделила сок.
Огурец промойте и нарежьте полукружиями или тонкими ломтиками.
Укроп промойте, обсушите и мелко нарежьте.
В миске смешайте капусту, огурец и укроп.
Добавьте оливковое масло и тщательно перемешайте.
Переложите салат на тарелку и подавайте свежим.",салат,овощной,салат
59,Салат с тыквой и болгарским перцем,"🎃 Тыква (сырая или запечённая) — 100 г
🌶️ Болгарский перец (сладкий, красный или жёлтый) — 80 г
🌿 Укроп или петрушка (свежая) — 5 г
🧈 Оливковое масло (нерафинированное) — 1 ч. л.
Лимонный сок — 1 ч. л.
🧂 Соль — щепотка","Если используете сырую тыкву, нарежьте её тонкими ломтиками или натрите на крупной тёрке.
Если предпочитаете запечённую тыкву, предварительно нарежьте её кубиками и запеките в духовке при 180°C до мягкости (примерно 15–20 минут).
Перец промойте, удалите сердцевину и семена. Нарежьте тонкими полосками или небольшими кубиками.
Укроп или петрушку промойте, обсушите и мелко нарежьте.
Смешайте тыкву (сырую или запечённую) с нарезанным перцем и зеленью в глубокой миске.
Добавьте оливковое масло, лимонный сок и немного соли. Аккуратно перемешайте.
Переложите салат на тарелку и подавайте как свежий гарнир или лёгкий перекус.",салат,овощной,салат
60,Салат с брокколи и болгарским перцем,"🥦 Брокколи (свежая или замороженная) — 100 г
🌶️ Болгарский перец (красный, жёлтый или зелёный) — 80 г
Лимонный сок — 1 ч. л.
🧈 Оливковое масло (нерафинированное) — 1 ч. л.
🧂 Соль — щепотка
🌿 Петрушка или укроп (по желанию) — 5 г","Разделите брокколи на мелкие соцветия.
Отварите в кипящей подсоленной воде 3–4 минуты или приготовьте на пару, чтобы сохранить лёгкую хрусткость. Затем быстро охладите в холодной воде, чтобы брокколи сохранила яркий зелёный цвет.
Промойте перец, удалите сердцевину и семена. Нарежьте полосками или кубиками.
Промойте и мелко нарежьте петрушку или укроп, если используете.
В глубокой миске смешайте брокколи и болгарский перец.
Полейте овощи лимонным соком и оливковым маслом. Добавьте щепотку соли и зелень (если используете).
Выложите салат на тарелку и подавайте как лёгкое, полезное блюдо.",салат,овощной,салат
61,Салат с курицей и тыквой,"Куриное филе (отварное или приготовленное на пару) — 100 г
🎃 Тыква (свежая или запечённая) — 80 г
Листья салата (латук или айсберг) — 50 г
🧈 Оливковое масло — 1 ч. л.
Лимонный сок — 1 ч. л.
🧂 Соль — щепотка
🌿 Зелень (укроп, петрушка) — по желанию","Отварите или приготовьте на пару куриное филе, остудите и нарежьте тонкими ломтиками или небольшими кубиками.
Если тыква сырая, нарежьте её небольшими кубиками и запеките в духовке при 180°C около 15–20 минут до мягкости. Охладите.
Промойте листья салата, обсушите и порвите на крупные кусочки.
В глубокой миске смешайте курицу, тыкву и листья салата.
Полейте салат оливковым маслом и лимонным соком, добавьте щепотку соли.
Выложите салат на тарелку. По желанию украсьте свежей зеленью.",салат,курица,салат
62,Салат с огурцами и авокадо,"🥒 Огурец (свежий) — 100 г
Авокадо (спелый) — 50 г
🥬 Листья салата (латук, айсберг или шпинат) — 50 г
🧈 Оливковое масло — 1 ч. л.
Лимонный сок — 1 ч. л.
🧂 Соль — щепотка
🌿 Зелень (укроп, петрушка) — по желанию","Огурец промойте и нарежьте тонкими кружками или полукружками.
Авокадо разрежьте пополам, удалите косточку, очистите кожуру и нарежьте небольшими кубиками.
Листья салата промойте, обсушите и порвите на крупные кусочки.
В миске смешайте нарезанные огурцы, авокадо и листья салата.
Полейте смесь оливковым маслом и лимонным соком, слегка посолите.
Выложите салат на тарелку, украсьте мелко нарезанной зеленью.",салат,овощной,салат
63,Салат из свежих овощей с помидорами,"Помидоры (свежие) — 100 г
Огурцы (свежие) — 100 г
🌶️ Болгарский перец — 50 г
Листья салата (латук или айсберг) — 50 г
🧈 Оливковое масло — 1 ч. л.
🧂 Соль — щепотка
🌿 Зелень (укроп, петрушка, базилик) — по желанию","Помидоры промойте и нарежьте крупными дольками.
Огурцы вымойте и нарежьте кружочками или полукружками.
Болгарский перец очистите от семян и нарежьте тонкими полосками.
Листья салата промойте, обсушите и порвите на крупные кусочки.
В салатнике соедините помидоры, огурцы, болгарский перец и листья салата.
Полейте овощи оливковым маслом, слегка посолите.
Перемешайте салат, выложите на тарелку и украсьте свежей зеленью.",салат,овощной,салат
